Drug,Lineage,Percentage of Strains that are Resistant,Number of Resistant Strains,Number of Susceptible Strains,No Results
eth,"2,4.3.2.1",0.0,0,0,1
eth,2.1,5.2631578947368425,1,1,17
eth,"2.2,3",0.0,0,0,1
eth,"2.2,4.3.2.1",0.0,0,0,1
eth,2.2.1,2.141057934508816,34,82,1472
eth,"2.2.1,1.2.2",0.0,0,0,1
eth,"2.2.1,3",0.0,0,1,1
eth,"2.2.1,4",0.0,0,1,2
eth,"2.2.1,4.1.1.1",0.0,0,0,1
eth,"2.2.1,4.1.1.3",0.0,0,0,1
eth,"2.2.1,4.3.2.1",0.0,0,0,1
eth,"2.2.1,4.3.4.2",0.0,0,0,1
eth,"2.2.1,4.8",0.0,0,0,2
eth,"2.2.1,6,BOV_AFRI",0.0,0,0,1
eth,"2.2.1,BOV_AFRI",0.0,0,0,1
eth,2.2.1.1,4.093567251461988,7,15,149
eth,2.2.1.2,0.0,0,0,24
eth,2.2.2,15.079365079365079,19,20,87
eth,3,0.07942811755361398,1,6,1252
eth,"3,4",0.0,0,0,1
eth,3.1.1,0.0,0,1,137
eth,3.1.2,0.0,0,1,75
eth,3.1.2.1,0.0,0,1,48
eth,3.1.2.2,0.0,0,0,17
eth,"3.1.2.2,1.1.1",0.0,0,0,1
eth,4,4.166666666666667,2,3,43
eth,4.1,1.6129032258064515,1,7,54
eth,"4.1,1.2.2",0.0,0,0,1
eth,"4.1,2.2.1,4.8",0.0,0,0,1
eth,4.1.1,2.2222222222222223,1,4,40
eth,4.1.1.1,1.1494252873563218,2,3,169
eth,"4.1.1.1,2.2",0.0,0,0,1
eth,4.1.1.2,0.0,0,0,46
eth,4.1.1.3,0.3508771929824561,1,2,282
eth,4.1.2,0.0,0,4,108
eth,"4.1.2,1.2.2",0.0,0,0,1
eth,"4.1.2,4.2.2",0.0,0,0,1
eth,4.1.2.1,0.6015037593984962,4,11,650
eth,"4.1.2.1,2.2.1",33.333333333333336,1,1,1
eth,"4.1.2.1,3",0.0,0,0,1
eth,"4.1.2.1,4.4.1",0.0,0,0,1
eth,"4.1.2.1,4.7",0.0,0,0,1
eth,4.2.1,0.0,0,0,161
eth,"4.2.1,4.7",0.0,0,0,1
eth,4.2.2,0.0,0,2,100
eth,4.2.2.1,3.7037037037037037,1,0,26
eth,4.3,0.0,0,0,4
eth,"4.3,2.2.1",0.0,0,0,1
eth,4.3.1,0.0,0,1,37
eth,4.3.2,0.0,0,2,76
eth,4.3.2.1,0.0,0,4,296
eth,"4.3.2.1,4.3.4",0.0,0,0,1
eth,4.3.3,3.0136986301369864,11,15,339
eth,"4.3.3,1.1.3",0.0,0,0,1
eth,"4.3.3,2.2.1",0.0,0,1,1
eth,"4.3.3,3.1.1",0.0,0,0,1
eth,"4.3.3,4.1.1",0.0,0,0,1
eth,"4.3.3,4.1.2",0.0,0,0,3
eth,"4.3.3,4.3.2.1",0.0,0,0,2
eth,4.3.4,0.0,0,0,2
eth,4.3.4.1,3.3333333333333335,2,3,55
eth,4.3.4.2,0.0,0,6,124
eth,"4.3.4.2,3.1.2.1",0.0,0,1,0
eth,4.3.4.2.1,0.0,0,2,125
eth,"4.3.4.2.1,1.1.2",0.0,0,0,1
eth,4.4,0.0,0,1,7
eth,4.4.1.1,0.7978723404255319,3,7,366
eth,"4.4.1.1,3",0.0,0,0,2
eth,"4.4.1.1,4.1.2",0.0,0,0,4
eth,"4.4.1.1,4.3.3",0.0,0,0,1
eth,"4.4.1.1,4.3.4.2.1",0.0,0,0,3
eth,"4.4.1.1,4.6.1.2",100.0,1,0,0
eth,4.4.1.2,0.0,0,0,90
eth,4.4.2,0.0,0,2,21
eth,4.5,1.1111111111111112,1,9,80
eth,"4.5,1.1.2",0.0,0,0,1
eth,"4.5,1.2.1",0.0,0,0,2
eth,4.6,0.0,0,0,9
eth,4.6.1.1,9.090909090909092,1,4,6
eth,4.6.1.2,10.526315789473685,2,4,13
eth,4.6.2,0.0,0,0,28
eth,4.6.2.1,0.0,0,0,8
eth,4.6.2.2,0.0,0,2,65
eth,4.7,0.0,0,0,66
eth,4.8,0.9259259259259259,5,13,522
eth,"4.8,4.1.1.3",0.0,0,1,1
eth,"4.8,4.3.4.1",0.0,0,0,2
eth,4.9,0.0,0,2,133
eth,5,0.0,0,0,15
eth,"5,6,BOV_AFRI",0.0,0,0,1
eth,6,0.0,0,0,2
eth,"6,BOV_AFRI",0.0,0,5,31
eth,BOV_AFRI,0.0,0,2,83
inh,1,33.333333333333336,1,1,1
inh,"1,2.2.1",100.0,1,0,0
inh,1.1,100.0,1,0,0
inh,1.1.1,33.333333333333336,12,21,3
inh,1.1.1.1,20.0,4,14,2
inh,1.1.2,19.852941176470587,54,211,7
inh,"1.1.2,1.2.2",0.0,0,1,0
inh,"1.1.2,3",50.0,1,1,0
inh,"1.1.2,4",66.66666666666667,4,2,0
inh,"1.1.2,4.3.2.1",0.0,0,1,0
inh,"1.1.2,4.4",0.0,0,1,0
inh,1.1.3,6.774193548387097,21,286,3
inh,"1.1.3,1.1.2",0.0,0,3,0
inh,"1.1.3,2.2.1.2",0.0,0,1,0
inh,"1.1.3,3",0.0,0,1,0
inh,"1.1.3,4.1.1.1",0.0,0,1,0
inh,"1.1.3,4.5",0.0,0,1,0
inh,1.2.1,15.272727272727273,42,206,27
