,ID,Drug,Resistant,Lineage
86103,Test1237,str,0,4.2.1.1.1.1.1.1.i1
86259,Test1236,str,0,4.2.1.1.1.1.1.1.i1
90120,Test1364,str,0,4.2.1.1.1.1.1.1.i1
90796,Test1397,str,0,4.2.1.1.1.1.1.1.i1
90887,Test1353,str,0,4.2.1.1.1.1.1.1.i1
91069,Test1362,str,0,4.2.1.1.1.1.1.1.i1
91147,Test1360,str,0,4.2.1.1.1.1.1.1.i1
92512,Test1006,str,0,4.2.1.1.1.1.1.1.i1
92577,Test1004,str,0,4.2.1.1.1.1.1.1.i1
96958,Test501,str,0,4.2.1.1.1.1.1.1.i1
97413,Test992,str,0,4.2.1.1.1.1.1.1.i1
97634,Test935,str,0,4.2.1.1.1.1.1.1.i1
97725,Test919,str,0,4.2.1.1.1.1.1.1.i1
97959,Test928,str,0,4.2.1.1.1.1.1.1.i1
98089,Test934,str,0,4.2.1.1.1.1.1.1.i1
98180,Test915,str,0,4.2.1.1.1.1.1.1.i1
98271,Test982,str,0,4.2.1.1.1.1.1.1.i1
98362,Test958,str,0,4.2.1.1.1.1.1.1.i1
98531,Test983,str,0,4.2.1.1.1.1.1.1.i1
98544,Test973,str,0,4.2.1.1.1.1.1.1.i1
98635,Test997,str,0,4.2.1.1.1.1.1.1.i1
100442,Test499,str,0,4.2.1.1.1.1.1.1.i1
100572,Test425,str,0,4.2.1.1.1.1.1.1.i1
100832,Test482,str,0,4.2.1.1.1.1.1.1.i1
5568,Test152,str,1,4.2.1.1.1.1.1.1.i1
8389,YA00128767,str,1,4.2.1.1.1.1.1.1.i1
8454,YA00128770,str,1,4.2.1.1.1.1.1.1.i1
15786,TEST0220,str,1,4.2.1.1.1.1.1.1.i1
16150,TEST0215,str,1,4.2.1.1.1.1.1.1.i1
36924,Test1104,str,1,4.2.1.1.1.1.1.1.i1
37795,Test1118,str,1,4.2.1.1.1.1.1.1.i1
37964,Test1114,str,1,4.2.1.1.1.1.1.1.i1
39875,TEST0291,str,1,4.2.1.1.1.1.1.1.i1
40109,TEST0252,str,1,4.2.1.1.1.1.1.1.i1
57477,Test1403,str,1,4.2.1.1.1.1.1.1.i1
60428,Test220,str,1,4.2.1.1.1.1.1.1.i1
60454,Test252,str,1,4.2.1.1.1.1.1.1.i1
60480,Test291,str,1,4.2.1.1.1.1.1.1.i1
61312,Test215,str,1,4.2.1.1.1.1.1.1.i1
61338,115851,str,1,4.2.1.1.1.1.1.1.i1
77016,Test736,str,1,4.2.1.1.1.1.1.1.i1
82099,Italian3,str,1,4.2.1.1.1.1.1.1.i1
82112,Italian4,str,1,4.2.1.1.1.1.1.1.i1
82125,Italian10,str,1,4.2.1.1.1.1.1.1.i1
82138,Italian8,str,1,4.2.1.1.1.1.1.1.i1
82151,Italian9,str,1,4.2.1.1.1.1.1.1.i1
82164,Italian5,str,1,4.2.1.1.1.1.1.1.i1
83633,Test373,str,1,4.2.1.1.1.1.1.1.i1
83841,Test363,str,1,4.2.1.1.1.1.1.1.i1
90536,Test1365,str,1,4.2.1.1.1.1.1.1.i1
92252,Test1057,str,1,4.2.1.1.1.1.1.1.i1
98115,Test933,str,1,4.2.1.1.1.1.1.1.i1
98284,Test966,str,1,4.2.1.1.1.1.1.1.i1
80747,QCECDC2021nr13,str,0,"4.2.1.1.1.1.1.1.i1,1.2.1.1.1"
75235,S0161_01,str,0,"4.2.1.1.1.1.1.1.i1,4.2.1.2.1.1.i1"
82840,161_01_RefAl,str,0,"4.2.1.1.1.1.1.1.i1,4.2.1.2.1.1.i1"
524,R_2021_03_04_08_48_47_user_GSS5PR-0275-77-Ampliseq_TB_3_marzo_21.IonCode_0126_R0.sorted,str,0,4.2.1.1.1.1.1.1.i2
5178,Test187,str,0,4.2.1.1.1.1.1.1.i2
6413,Sample No 3213169.IonXpress_030.sorted,str,0,4.2.1.1.1.1.1.1.i2
6478,Sample No 3212705.IonXpress_024.sorted,str,0,4.2.1.1.1.1.1.1.i2
6491,Sample No 3213123.IonXpress_027.sorted,str,0,4.2.1.1.1.1.1.1.i2
31295,H37rv_S2_L001_R2_001.sorted,str,0,4.2.1.1.1.1.1.1.i2
31308,H37rv_S2_L001_R1_001.sorted,str,0,4.2.1.1.1.1.1.1.i2
32036,snps.filt,str,0,4.2.1.1.1.1.1.1.i2
33050,TEST0187,str,0,4.2.1.1.1.1.1.1.i2
37977,Test1153,str,0,4.2.1.1.1.1.1.1.i2
54773,Peru3422,str,0,4.2.1.1.1.1.1.1.i2
57555,Test1499,str,0,4.2.1.1.1.1.1.1.i2
75287,LOD4_S4_L001,str,0,4.2.1.1.1.1.1.1.i2
79707,44,str,0,4.2.1.1.1.1.1.1.i2
79915,38,str,0,4.2.1.1.1.1.1.1.i2
79928,81,str,0,4.2.1.1.1.1.1.1.i2
80240,39,str,0,4.2.1.1.1.1.1.1.i2
80318,35,str,0,4.2.1.1.1.1.1.1.i2
80383,37,str,0,4.2.1.1.1.1.1.1.i2
80448,83,str,0,4.2.1.1.1.1.1.1.i2
80617,41,str,0,4.2.1.1.1.1.1.1.i2
80734,Sample No 3213195.IonXpress_018.sorted,str,0,4.2.1.1.1.1.1.1.i2
82047,KP163,str,0,4.2.1.1.1.1.1.1.i2
86324,Test1292,str,0,4.2.1.1.1.1.1.1.i2
100234,Test476,str,0,4.2.1.1.1.1.1.1.i2
100585,Test480,str,0,4.2.1.1.1.1.1.1.i2
4424,Test097,str,1,4.2.1.1.1.1.1.1.i2
6036,Test156,str,1,4.2.1.1.1.1.1.1.i2
14941,merged_dr,str,1,4.2.1.1.1.1.1.1.i2
78355,TDR87,str,1,4.2.1.1.1.1.1.1.i2
79850,82,str,1,4.2.1.1.1.1.1.1.i2
97374,Test962,str,1,4.2.1.1.1.1.1.1.i2
563,TEST0034,str,0,4.2.1.1.1.1.2
4164,Test078,str,0,4.2.1.1.1.1.2
4281,Test021,str,0,4.2.1.1.1.1.2
4567,Test034,str,0,4.2.1.1.1.1.2
4931,Test170,str,0,4.2.1.1.1.1.2
6231,TEST0170,str,0,4.2.1.1.1.1.2
12068,Test858,str,0,4.2.1.1.1.1.2
15149,TEST0021,str,0,4.2.1.1.1.1.2
15721,IDR1700046500-01-01_S13_L001,str,0,4.2.1.1.1.1.2
15747,IDR1600048594-01-01_S14_L001,str,0,4.2.1.1.1.1.2
16059,TEST0222,str,0,4.2.1.1.1.1.2
16267,TEST0234,str,0,4.2.1.1.1.1.2
39485,TEST0078,str,0,4.2.1.1.1.1.2
60038,Test222,str,0,4.2.1.1.1.1.2
60675,Test234,str,0,4.2.1.1.1.1.2
77497,Test765,str,0,4.2.1.1.1.1.2
77666,Test781,str,0,4.2.1.1.1.1.2
97361,Test917,str,0,4.2.1.1.1.1.2
99571,IDR1600041998-01-02_S5_L001,str,0,4.2.1.1.1.1.2
3280,TEST0193,str,1,4.2.1.1.1.1.2
3319,TEST0198,str,1,4.2.1.1.1.1.2
5230,Test193,str,1,4.2.1.1.1.1.2
5945,Test198,str,1,4.2.1.1.1.1.2
11015,Test839,str,1,4.2.1.1.1.1.2
15734,Peru4057,str,1,4.2.1.1.1.1.2
15877,TEST0224,str,1,4.2.1.1.1.1.2
60753,Test224,str,1,4.2.1.1.1.1.2
77094,Test758,str,1,4.2.1.1.1.1.2
12640,TB7_S158_R1_001.sorted,str,0,4.2.1.1.1.2.1.1.1.1.1
32920,ERR1679585.1.sorted,str,0,4.2.1.1.1.2.1.1.1.1.1
37379,Test1148,str,0,4.2.1.1.1.2.1.1.1.1.1
37470,Test1149,str,0,4.2.1.1.1.2.1.1.1.1.1
