,ID,Drug,Resistant,Lineage
40182,TEST0298,pas,0,1.2.2.1
40494,CS5556-LDJ7634-W1_L3_1.sorted,pas,0,1.2.2.1
40507,KP279,pas,0,1.2.2.1
60163,Test280,pas,0,1.2.2.1
60384,Test264,pas,0,1.2.2.1
60436,Test298,pas,0,1.2.2.1
60748,Test260,pas,0,1.2.2.1
82900,Test323,pas,0,1.2.2.1
83082,Test341,pas,0,1.2.2.1
83160,Test349,pas,0,1.2.2.1
83238,Test391,pas,0,1.2.2.1
83394,Test371,pas,0,1.2.2.1
84057,Test324,pas,0,1.2.2.1
84083,Test302,pas,0,1.2.2.1
90661,Test1340,pas,0,1.2.2.1
91441,Sample No 3213343.IonXpress_031.sorted,pas,0,1.2.2.1
96095,Test508,pas,0,1.2.2.1
99787,Test462,pas,0,1.2.2.1
99800,Test402,pas,0,1.2.2.1
99930,Test439,pas,0,1.2.2.1
99956,Test490,pas,0,1.2.2.1
100190,Test472,pas,0,1.2.2.1
100333,Test485,pas,0,1.2.2.1
100411,Test488,pas,0,1.2.2.1
100619,Test453,pas,0,1.2.2.1
100684,Test486,pas,0,1.2.2.1
100775,Test458,pas,0,1.2.2.1
103661,KP219,pas,0,1.2.2.1
82926,Test311,pas,0,"1.2.2.1,1.1.2"
61294,Test297,pas,0,"1.2.2.1,2.2.1.1.1"
62542,Sample No 3211622.IonXpress_017.sorted,pas,0,"1.2.2.1,4"
53975,Malwai_freebayes_150_AC_AN_MAF_Qual,pas,0,"1.2.2.1,4.2.1.2.1.1.i3.1,4.1.i1.1.1.1,2.2.1.1.1,4.2.1.2.1.1.i3.2,4.1.i1.1.2,1.1.1.2.i1,3.1.1.i1,4.2.1.1.1.1.1.1.i2"
79715,34,pas,0,1.2.2.2
79741,50,pas,0,1.2.2.2
79819,56,pas,0,1.2.2.2
79832,51,pas,0,1.2.2.2
79884,18,pas,0,1.2.2.2
79962,13,pas,0,1.2.2.2
80027,55,pas,0,1.2.2.2
80066,59,pas,0,1.2.2.2
80131,52,pas,0,1.2.2.2
80144,31,pas,0,1.2.2.2
